hd,jcd,rno,waku,toban,grade,localWin,motor2
20250724,12,4,1,4175,B1,0.00,18.18
20250724,12,4,2,4695,B1,0.00,45.45
20250724,12,4,3,4702,A1,6.00,35.82
20250724,12,4,4,4962,A2,5.10,37.88
20250724,12,4,5,4925,A2,5.45,20.63
20250724,12,4,6,4540,B1,5.89,31.82
20250724,12,5,1,4263,A1,5.57,37.88
20250724,12,5,2,4152,B1,5.46,35.48
20250724,12,5,3,3892,B1,6.52,24.19
20250724,12,5,4,4753,B1,0.00,25.81
20250724,12,5,5,3385,B1,4.76,24.19
20250724,12,5,6,4959,A1,6.73,31.25
20250724,12,6,1,4012,A2,5.51,30.16
20250724,12,6,2,5071,B1,0.00,28.57
20250724,12,6,3,4273,B1,4.08,41.94
20250724,12,6,4,4526,A2,7.17,35.48
20250724,12,6,5,4171,A1,6.42,43.75
20250724,12,6,6,4960,A2,6.00,43.75
20250724,12,7,1,5091,A2,4.00,46.77
20250724,12,7,2,3690,B1,5.13,23.81
20250724,12,7,3,4258,B1,4.26,29.69
20250724,12,7,4,5126,A2,4.43,42.42
20250724,12,7,5,4570,A1,6.46,45.16
20250724,12,7,6,3566,B1,5.45,41.79
20250724,12,8,1,5092,B1,0.00,35.48
20250724,12,8,2,4202,B1,4.64,22.22
20250724,12,8,3,4061,A1,6.68,25.37
20250724,12,8,4,4472,A1,6.78,34.38
20250724,12,8,5,4196,B1,7.00,27.69
20250724,12,8,6,4834,B1,4.56,31.25
20250724,12,9,1,4925,A2,5.45,20.63
20250724,12,9,2,5000,B1,6.06,58.21
20250724,12,9,3,4423,B1,3.63,39.68
20250724,12,9,4,4509,A1,6.50,44.12
20250724,12,9,5,4263,A1,5.57,37.88
20250724,12,9,6,3563,B1,5.59,38.46
20250724,12,10,1,5002,A1,0.00,49.09
20250724,12,10,2,5075,A2,5.86,42.42
20250724,12,10,3,4171,A1,6.42,43.75
20250724,12,10,4,4175,B1,0.00,18.18
20250724,12,10,5,3977,B1,4.66,38.71
20250724,12,10,6,4156,A2,6.27,29.03
20250724,12,11,1,4446,A1,6.53,29.51
20250724,12,11,2,4012,A2,5.51,30.16
20250724,12,11,3,5091,A2,4.00,46.77
20250724,12,11,4,4702,A1,6.00,35.82
20250724,12,11,5,4557,A2,5.33,33.33
20250724,12,11,6,4361,A1,6.76,39.39
20250724,12,12,1,4044,A1,6.75,27.42
20250724,12,12,2,4959,A1,6.73,31.25
20250724,12,12,3,4962,A2,5.10,37.88
20250724,12,12,4,4895,B1,4.98,50.00
20250724,12,12,5,5071,B1,0.00,28.57
20250724,12,12,6,4061,A1,6.68,25.37
20250724,13,1,1,4343,B1,4.19,33.33
20250724,13,1,2,4004,B1,4.57,32.04
20250724,13,1,3,4133,A2,6.20,22.83
20250724,13,1,4,4462,B1,4.63,36.36
20250724,13,1,5,4283,B1,3.90,32.00
20250724,13,1,6,5138,B1,3.13,21.28
20250724,13,2,1,4902,B1,5.06,21.79
20250724,13,2,2,3527,B1,5.18,35.35
20250724,13,2,3,5358,B1,0.00,36.00
20250724,13,2,4,4930,A2,4.84,41.24
20250724,13,2,5,3809,B1,4.50,44.66
20250724,13,2,6,4067,A1,6.26,38.24
20250724,13,3,1,4766,B1,4.35,31.87
20250724,13,3,2,4410,B1,5.76,45.83
20250724,13,3,3,4933,A1,6.16,43.56
20250724,13,3,4,3572,A2,5.84,29.13
20250724,13,3,5,4948,B1,5.58,30.93
20250724,13,3,6,4474,B1,4.26,34.38
20250724,13,4,1,4866,B1,4.06,31.37
20250724,13,4,2,4441,A1,6.85,20.43
20250724,13,4,3,4808,A2,7.00,26.53
20250724,13,4,4,4978,B1,4.89,18.48
20250724,13,4,5,4269,A1,6.52,32.63
20250724,13,4,6,5367,B2,0.89,41.18
20250724,13,5,1,4289,B1,5.38,26.53
20250724,13,5,2,5277,B1,4.70,24.74
20250724,13,5,3,4283,B1,3.90,32.00
20250724,13,5,4,5264,B1,3.09,32.29
20250724,13,5,5,4349,B1,4.40,31.91
20250724,13,5,6,4627,A2,6.00,46.46
20250724,13,6,1,4184,A1,6.66,40.59
20250724,13,6,2,4641,B1,3.86,40.82
20250724,13,6,3,5061,B1,1.14,41.41
20250724,13,6,4,4824,A2,7.15,22.92
20250724,13,6,5,4981,B1,5.50,35.64
20250724,13,6,6,5317,B1,0.00,25.81
20250724,13,7,1,3809,B1,4.50,44.66
20250724,13,7,2,3908,A1,7.06,12.50
20250724,13,7,3,4506,A2,6.43,35.35
20250724,13,7,4,3929,B1,4.54,24.10
20250724,13,7,5,3652,B1,3.45,34.69
20250724,13,7,6,4905,B1,3.69,31.68
20250724,13,8,1,4948,B1,5.58,30.93
20250724,13,8,2,4154,A2,3.00,31.68
20250724,13,8,3,4811,B1,5.10,32.32
20250724,13,8,4,4760,A1,8.10,47.52
20250724,13,8,5,4133,A2,6.20,22.83
20250724,13,8,6,5358,B1,0.00,36.00
20250724,13,9,1,4216,A2,7.12,33.01
20250724,13,9,2,5264,B1,3.09,32.29
20250724,13,9,3,4469,A2,5.23,24.75
20250724,13,9,4,4766,B1,4.35,31.87
20250724,13,9,5,4560,A1,5.71,24.49
20250724,13,9,6,4004,B1,4.57,32.04
20250724,13,10,1,3572,A2,5.84,29.13
20250724,13,10,2,4627,A2,6.00,46.46
20250724,13,10,3,4981,B1,5.50,35.64
20250724,13,10,4,4808,A2,7.00,26.53
20250724,13,10,5,4343,B1,4.19,33.33
20250724,13,10,6,3527,B1,5.18,35.35
20250724,13,11,1,4269,A1,6.52,32.63
20250724,13,11,2,4824,A2,7.15,22.92
20250724,13,11,3,4930,A2,4.84,41.24
20250724,13,11,4,4506,A2,6.43,35.35
20250724,13,11,5,4289,B1,5.38,26.53
20250724,13,11,6,4410,B1,5.76,45.83
20250724,13,12,1,4760,A1,8.10,47.52
20250724,13,12,2,4067,A1,6.26,38.24
20250724,13,12,3,4184,A1,6.66,40.59
20250724,13,12,4,3908,A1,7.06,12.50
20250724,13,12,5,4933,A1,6.16,43.56
